CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC,DTS
-999,-999,41.4699,-999,-999,-999,-999,128.0737,319.0654
-999,-999,42.5053,-999,-999,-999,-999,127.8347,318.7825
-999,-999,43.1548,-999,-999,-999,-999,127.2307,317.3323
-999,-999,43.241,-999,-999,-999,-999,126.2917,313.6486
-999,-999,40.3218,-999,-999,-999,-999,125.3985,307.8903
-999,-999,38.0869,-999,-999,-999,-999,125.023,302.3839
-999,-999,39.5775,-999,-999,-999,-999,125.3598,300.0564
-999,-999,42.6044,-999,-999,-999,-999,126.4129,302.1025
-999,-999,42.1779,-999,-999,-999,-999,127.9622,308.5552
-999,-999,40.2553,-999,-999,-999,-999,129.5826,318.0407
-999,-999,39.975,-999,-999,-999,-999,130.898,327.925
-999,-999,38.2864,-999,-999,-999,-999,131.7036,335.9414
-999,-999,37.4536,-999,-999,-999,-999,132.3922,340.8291
-999,-999,38.3009,-999,-999,-999,-999,133.5848,344.98
-999,-999,37.8108,-999,-999,-999,-999,135.4301,352.1544
-999,-999,36.6444,-999,-999,-999,-999,136.8495,363.2526
-999,-999,37.7858,-999,-999,-999,-999,136.1053,371.8271
-999,-999,36.7689,-999,-999,-999,-999,132.816,367.3786
-999,-999,37.0389,-999,-999,-999,-999,128.6244,347.5287
-999,-999,37.4309,-999,-999,-999,-999,125.8387,322.124
8.7533,-999,36.6943,-999,-999,-999,-999,124.8427,305.1015
8.7533,-999,36.9579,-999,-999,-999,-999,125.1078,298.9542
8.7543,-999,37.8229,-999,-999,-999,-999,126.0392,300.5604
8.7452,-999,39.0253,-999,-999,-999,-999,127.064,306.2839
8.7534,-999,36.954,-999,-999,-999,-999,127.6953,312.5766
8.7494,-999,35.6069,-999,-999,-999,-999,127.9607,316.454
8.7442,-999,36.1446,-999,-999,-999,-999,128.0683,318.0822
8.7411,-999,35.5882,-999,-999,-999,-999,128.3505,318.7347
8.7583,-999,34.2434,-999,-999,-999,-999,129.0144,320.4434
8.7552,-999,33.1134,-999,-999,-999,-999,130.1051,324.4716
8.7361,-999,35.1556,-999,-999,-999,-999,131.3041,331.105
8.7413,-999,36.004,-999,-999,-999,-999,131.9817,338.4105
8.7494,-999,37.2629,-999,-999,-999,-999,131.7243,342.5416
8.7554,-999,38.2432,-999,-999,-999,-999,130.5381,341.0037
8.7533,-999,37.7215,-999,-999,-999,-999,128.9389,333.8125
8.7533,-999,37.9902,-999,-999,-999,-999,127.74,324.0698
8.7573,-999,37.7324,-999,-999,-999,-999,127.518,316.7288
8.7543,-999,39.9991,-999,-999,-999,-999,128.5259,315.3399
8.7583,-999,38.9178,-999,-999,-999,-999,130.4949,321.4478
8.7543,-999,36.8739,-999,-999,-999,-999,132.7789,333.4142
8.7552,-999,36.7338,-999,-999,-999,-999,134.2583,347.2946
8.7593,-999,37.2939,-999,-999,-999,-999,134.1458,356.2713
8.7543,-999,38.2491,-999,-999,-999,-999,132.9382,355.623
8.7564,-999,39.1807,-999,-999,-999,-999,131.756,348.337
8.7573,-999,38.2588,-999,-999,-999,-999,131.3512,341.1744
8.7523,-999,34.8653,-999,-999,-999,-999,131.7311,338.7057
